sdf,area,u,v,p,c,c__y,c__x,c__y__y,c__x__x,advection_diffusion_c,true_advection_diffusion_c,pred_advection_diffusion_c,lambda_advection_diffusion_c,Points:0,Points:1,Points:2,Point ID
49.8304,11.8777,-65.4928,62.8182,12.0371,114.016,-0.73615,0.392295,0.0108747,0.0101769,-71.9362,0,-71.9362,1,102.535,-100.17,0,146
29.4728,11.8777,-120.226,33.0957,9.34892,205.212,0.962157,-1.10275,0.00214305,0.00496417,164.423,0,164.423,1,-80.5163,120.527,0,147
8.66307,11.8777,-131.189,88.5164,13.0699,280.042,-0.180312,-1.67456,0.00833891,0.00113152,203.722,0,203.722,1,-160.592,-59.7061,0,148
8.2836,11.8777,-79.0152,39.0581,15.8927,187.658,0.888685,0.791055,0.00170507,0.00538204,-27.7951,0,-27.7951,1,77.6758,141.716,0,149
10.6435,11.8777,-63.2169,62.071,12.9821,144.257,-1.11149,-0.303983,-0.000778931,-0.0126492,-49.7742,0,-49.7742,1,35.4997,-139.357,0,150
15.1449,11.8777,-64.279,64.3418,11.8365,135.781,-1.06643,-0.163319,0.00100025,0.0095407,-58.1182,0,-58.1182,1,48.8023,-134.855,0,151
71.1828,11.8777,-70.5502,70.5714,11.8659,110.446,-0.666178,0.440822,0.00598638,0.00198306,-78.1133,0,-78.1133,1,132.123,-78.8172,0,152
20.4082,11.8777,-78.1328,74.6029,14.944,139.063,-0.750217,0.383504,-0.0101558,-0.0134429,-85.9325,0,-85.9325,1,110.22,-129.592,0,153
3.6411,11.8777,-48.5856,47.0935,8.49144,91.8014,-0.942898,0.105633,0.00123116,0.00387377,-49.5366,0,-49.5366,1,53.1849,-91.6035,0,154
14.1994,11.8777,-14.5469,6.50348,2.68876,33.5378,1.01624,0.404978,0.012683,0.210468,0.717437,0,0.717437,1,7.5292,30.0388,0,155
23.7657,11.8777,-124.088,58.4197,6.37973,215.474,0.307996,-1.68169,0.00348091,0.000994722,226.671,0,226.671,1,-117.387,56.788,0,156
85.5986,11.8777,-67.148,74.8098,17.8336,119.542,0.760321,0.851688,0.0162572,5.12266e-05,-0.309733,0,-0.309733,1,136.112,4.87115,0,157
48.7595,11.8777,-116.203,35.4647,8.61885,190.071,0.883085,-1.20871,0.01495,0.0224221,171.775,0,171.775,1,-83.1043,101.24,0,158
6.20701,11.8777,-41.4739,40.8418,7.02334,69.7981,-0.775615,0.360134,0.0138188,0.00944522,-46.6137,0,-46.6137,1,70.3508,-57.4134,0,159
26.462,11.8777,-61.4772,20.8805,4.83172,97.91,0.699761,-1.41475,0.00441889,0.00289997,101.586,0,101.586,1,-46.945,44.462,0,160
5.71297,11.8777,-62.9481,61.1788,11.6547,155.927,-1.13166,-0.396514,-5.3436e-05,-0.00444626,-44.2737,0,-44.2737,1,19.1682,-144.287,0,161
14.8929,11.8777,-51.3242,50.382,10.5483,119.618,-1.10754,-0.295522,0.00115638,0.0260651,-40.6326,0,-40.6326,1,25.5342,-114.512,0,162
58.428,11.8777,-69.6091,43.6842,15.0126,158.406,0.82742,0.861174,0.00581076,0.00564249,-23.8004,0,-23.8004,1,95.687,91.572,0,163
48.642,11.8777,-147.562,56.9404,10.4222,238.452,0.571664,-1.53028,-0.00189811,-0.000924179,258.361,0,258.361,1,-123.424,86.3151,0,164
