sdf,sdf__x,sdf__y,area,u,v,p,u__y,u__x,v__y,v__x,p__y,p__x,continuity,u__y__y,u__x__y,u__x__x,v__y__y,v__y__x,v__x__x,momentum_y,momentum_x,true_continuity,true_momentum_x,true_momentum_y,pred_continuity,pred_momentum_y,pred_momentum_x,lambda_continuity,lambda_momentum_x,lambda_momentum_y,Points:0,Points:1,Points:2,Point ID
5.3859,-0,-1,44.6387,0.0944138,-0.0487466,-0.0404234,-0.0127076,-0.0110814,0.00291224,-0.00100928,0.0111946,0.0112167,-0.00816911,0.0009083,0.000410016,0.000354806,0.00104517,0.000470253,0.000146848,0.0109979,0.00990654,0,0,0,-0.00816911,0.0109979,0.00990654,5.3859,5.3859,5.3859,-65.1823,25.8075,0,51
13.9491,-0,-1,44.6387,0.312294,0.146443,-0.0572815,-0.00890035,0.00899933,-0.0122107,0.0136758,-0.00696784,0.0121167,-0.00321133,0.000775931,-0.00109615,0.00153508,0.000178527,-0.000256897,0.000329901,-0.00856296,0.0116143,0,0,0,-0.00321133,-0.00856296,0.0116143,13.9491,13.9491,13.9491,-101.151,-142.953,0,52
27.3131,0,1,44.6387,0.394847,0.0412736,0.133971,-0.00348281,0.00223286,-0.00241729,-0.00176417,-0.00258079,-0.00600612,-0.000184437,-9.1014e-05,-0.000154226,-0.000363005,-9.14985e-05,-0.000190588,-0.000446198,-0.00218286,-0.00456182,0,0,0,-0.000184437,-0.00218286,-0.00456182,27.3131,27.3131,27.3131,56.4405,-133.73,0,53
97.5435,0,1,44.6387,0.615522,0.0516217,0.0660319,0.00479424,0.00413437,-0.00432746,-0.000774823,0.00273992,0.000170644,-0.00019309,-0.000333325,-7.56894e-05,-1.7208e-05,0.000717705,0.000154362,3.87463e-05,-0.00077334,0.00463353,0,0,0,-0.00019309,-0.00077334,0.00463353,97.5435,97.5435,97.5435,271.958,-63.5002,0,54
4.30924,0,-1,44.6387,0.324466,0.093686,0.102418,0.0109795,0.0107357,-0.00380685,-0.0087137,0.00390054,0.00632973,0.00692882,9.79546e-05,0.00015178,0.000235532,0.001396,0.00193646,0.00268609,0.000128435,0.0108802,0,0,0,0.00692882,0.000128435,0.0108802,4.30924,4.30924,4.30924,-106.41,155.042,0,55
2.98553,-0,-1,44.6387,0.322566,0.17925,-0.0183296,-0.00377571,0.0011681,-0.0082561,0.00703288,0.000296626,0.00141312,-0.007088,-0.00163414,0.00245014,-0.00370546,-0.00150845,0.00230576,-0.00359451,0.00128849,0.00149596,0,0,0,-0.007088,0.00128849,0.00149596,2.98553,2.98553,2.98553,-87.8878,-131.99,0,56
19.9681,-1,-0,44.6387,0.618393,0.200271,-0.644258,0.0192378,-0.0162005,0.00148519,-0.00266389,-0.00707081,0.00910319,-0.0147153,0.000245774,-0.000138771,7.39618e-05,-0.00114003,0.000679149,-0.000411113,-0.00171005,-0.00558461,0,0,0,-0.0147153,-0.00171005,-0.00558461,19.9681,19.9681,19.9681,-146.639,-87.8442,0,57
23.3011,0,1,44.6387,0.504524,0.133156,0.00283813,-0.00037086,0.00237788,-0.00133351,-3.75765e-05,0.00355033,0.000845412,0.00104437,0.000437915,0.000221003,0.00011004,-5.05735e-05,-3.13484e-05,-1.48104e-05,0.00353759,0.00173094,0,0,0,0.00104437,0.00353759,0.00173094,23.3011,23.3011,23.3011,264.773,-137.743,0,58
141.132,0,1,44.6387,0.556129,0.0190332,0.128815,0.00420478,0.00335937,0.000916155,8.19606e-05,-0.00217563,-0.00039852,0.00427553,-7.20525e-05,1.32471e-05,1.75617e-06,5.58861e-05,1.88725e-05,6.84216e-06,-0.00221648,0.00162493,0,0,0,0.00427553,-0.00221648,0.00162493,141.132,141.132,141.132,256.065,-19.9117,0,59
36.8363,-1,-0,44.6387,1.29315,0.131229,-0.862896,0.00857499,-0.012656,-0.00409278,0.000648066,0.00235503,0.00521236,-0.0167488,0.00189603,-0.000577482,0.000162369,0.000893156,-0.000322552,9.9048e-05,0.000601188,-0.0225582,0,0,0,-0.0167488,0.000601188,-0.0225582,36.8363,36.8363,36.8363,-163.507,-50.0767,0,60
10.7069,0,-1,44.6387,0.429195,-0.073595,0.161629,-0.00895506,0.00782228,2.05524e-05,0.000542719,0.00491351,-0.00302362,0.00784283,-0.000349982,0.000240346,-0.000174897,0.000923039,-0.000574461,0.000357238,0.00463649,0.00104077,0,0,0,0.00784283,0.00463649,0.00104077,10.7069,10.7069,10.7069,228.159,148.644,0,61
16.5233,0,-1,44.6387,0.241704,0.020246,0.147171,0.00815679,-0.00509298,0.00915337,-0.00619236,-0.00616528,0.00565196,0.00406039,0.000156955,-0.000107621,6.40972e-05,-0.000311577,0.000335695,-0.000349359,-0.00520196,0.00476132,0,0,0,0.00406039,-0.00520196,0.00476132,16.5233,16.5233,16.5233,169.132,142.828,0,62
7.06631,-0,1,44.6387,0.154072,-0.0541723,-0.112785,-0.0122176,-0.0114659,0.00301851,-0.00107816,0.0156,0.0119417,-0.00844744,-0.00164744,-0.000364354,9.50379e-05,-0.001136,-0.000389732,-0.00019753,0.0152046,0.0120864,0,0,0,-0.00844744,0.0152046,0.0120864,7.06631,7.06631,7.06631,-66.2609,22.24,0,63
34.1697,-0.97609,0.217368,44.6387,1.66029,0.127639,-0.885727,-0.0107273,-0.0124873,0.00200156,-0.00144413,0.000618616,0.00636554,-0.0104857,0.000805406,-1.5284e-05,-2.76305e-05,0.0010623,-3.89235e-05,6.99124e-07,-0.00933406,-0.0252334,0,0,0,-0.0104857,-0.00933406,-0.0252334,34.1697,34.1697,34.1697,-160.024,-9.43846,0,64
76.3971,0,-1,44.6387,0.24849,-0.0864234,0.147158,-0.00322642,0.00577562,-0.00357122,0.00245556,-0.00179225,0.00154323,0.0022044,0.000532828,-0.000340588,0.000191581,-0.00185582,0.00107442,-0.000623498,0.00536913,0.00308454,0,0,0,0.0022044,0.00536913,0.00308454,76.3971,76.3971,76.3971,142.861,82.9543,0,65
